Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
KMX	CARMAX INC	143130102	Retail	USD	Services	Auto Dealerships	2016-10-07	None	None	None	NYSE	5500	195621	VIRGINIA, U.S.A	None	N
KND	KINDRED HEALTHCARE, INC	494580103	Healthcare	USD	Healthcare	Long-Term Care Facilities	2016-11-10	None	None	None	NYSE	8050	196602	KENTUCKY, U.S.A	None	N
KNL	KNOLL INC	498904200	Consumer Goods	USD	Consumer Goods	Miscellaneous Furniture & Fixtures	2016-11-10	None	None	None	NYSE	2590	189119	PENNSYLVANIA, U.S.A	None	N
KNX	KNIGHT TRANSPORTATION INC	499064103	Shipping Containers	USD	Services	Trucking	2016-11-10	None	None	None	NYSE	4213	197361	ARIZONA, U.S.A	None	N
KO	COCA COLA CO	191216100	Beer & Liquor	USD	Consumer Goods	Beverages - Soft Drinks	2016-10-30	None	None	None	NYSE	2080	199839	GEORGIA, U.S.A	None	N
KODK	EASTMAN KODAK CO	277461109	Consumer Goods	USD	Technology	Application Software	2016-11-11	None	None	None	NYSE	3861	199762	NEW YORK, U.S.A	None	N
KOOL	CESCA THERAPEUTICS INC.	883623308,157131103	Measuring and Control Equipment	USD	Consumer Goods	Business Equipment	2016-11-18	None	None	None	NASDAQ	3821	198365	CALIFORNIA, U.S.A	None	N
KOP	Koppers Holdings Inc.	50060P106	Construction Materials	USD	Industrial Goods	Specialty Chemicals	2016-11-04	None	None	None	NYSE	2400	194927	PENNSYLVANIA, U.S.A	None	N
KORS	Michael Kors Holdings Ltd	G60754101	Consumer Goods	USD	Services	Specialty Retail, Other	2016-11-11	None	None	None	NYSE	3100	192178	UNITED KINGDOM	None	N
KOS	Kosmos Energy Ltd.	G5315B107	Coal	USD	Basic Materials	Independent Oil & Gas	2016-11-08	None	None	None	NYSE	1311	192549	BERMUDA	None	N
KR	KROGER CO	501044101	Retail	USD	Services	Grocery Stores	2016-09-21	None	None	None	NYSE	5411	199588	OHIO, U.S.A	None	N
KRC	KILROY REALTY CORP	49427F108	Trading	USD	Financial	REIT - Office	2016-10-29	None	None	None	NYSE	6798	196950	CALIFORNIA, U.S.A	None	N
KRG	KITE REALTY GROUP TRUST	49803T102	Trading	USD	Financial	REIT - Retail	2016-11-09	None	None	None	NYSE	6798	195173	INDIANA, U.S.A	None	N
KRO	KRONOS WORLDWIDE INC	50105F105	Chemicals	USD	Industrial Goods	Specialty Chemicals	2016-11-08	None	None	None	NYSE	2810	195358	TEXAS, U.S.A	None	N
KS	KAPSTONE PAPER & PACKAGING CORP	48562P103	Business Supplies	USD	Consumer Goods	Paper & Paper Products	2016-11-02	None	None	None	NYSE	2621	194843	ILLINOIS, U.S.A	None	N
KSS	KOHLS Corp	500255104	Retail	USD	Services	Department Stores	2016-09-03	None	None	None	NYSE	5311	197807	WISCONSIN, U.S.A	None	N
KSU	KANSAS CITY SOUTHERN	485170302	Shipping Containers	USD	Services	Railroads	2016-10-19	None	None	None	NYSE	4011	199604	MISSOURI, U.S.A	None	N
KVHI	KVH INDUSTRIES INC	482738101	Electronic Equipment	USD	Technology	Communication Equipment	2016-11-04	None	None	None	NASDAQ	3663	197113	RHODE ISLAND, U.S.A	None	N
L	LOEWS CORP	540424108	Insurance	USD	Financial	Property & Casualty Insurance	2016-11-01	None	None	LTR	NYSE	6331	199571	NEW YORK, U.S.A	None	N
LAD	LITHIA MOTORS INC	536797103	Retail	USD	Services	Auto Dealerships	2016-11-01	None	None	None	NYSE	5500	196984	OREGON, U.S.A	None	N
LAKE	LAKELAND INDUSTRIES INC	511795106	Medical Equipment	USD	Healthcare	Medical Instruments & Supplies	2016-09-15	None	None	None	NASDAQ	3842	198441	NEW YORK, U.S.A	None	N
